FechaReserva,IdCliente,IdCancha,IdHorario,IdEmpleado
2024-08-08,111,1,9,1
2023-07-13,325,1,6,1
2023-11-08,281,2,9,2
2024-02-17,332,3,4,1
2024-11-27,475,2,11,4
2024-05-06,103,1,4,2
2024-07-18,161,3,8,1
2024-10-21,135,5,8,1
2024-09-02,151,4,4,4
2023-12-04,203,5,4,3
2023-12-15,332,2,2,4
2024-12-14,66,4,5,1
2023-10-27,476,5,2,1
2024-01-06,243,2,2,5
2023-09-02,75,4,12,4
2023-10-09,310,1,7,3
2023-08-14,365,5,3,4
2024-03-29,449,3,6,5
2024-06-24,491,1,7,3
2024-05-22,137,1,11,5
2023-09-17,360,4,1,4
,331,2,4,4
2024-11-07,45,4,10,4
2024-01-10,225,5,4,2
2024-09-30,294,5,7,5
2023-08-12,311,5,12,2
2024-12-10,20,1,9,3
2024-01-01,306,5,3,4
2024-11-28,495,1,2,2
2023-08-12,24,1,6,3
2024-03-17,77,1,6,4
2023-12-13,108,5,7,3
2024-11-07,383,4,6,5
2024-06-25,327,2,7,5
2024-08-25,60,4,11,5
2023-08-10,37,1,10,3
2024-05-30,117,3,4,2
2023-09-01,,3,11,5
2024-02-02,498,4,12,5
2023-09-06,202,4,11,1
2024-09-26,250,1,7,3
2024-09-14,393,2,9,1
2024-12-24,310,2,8,1
2023-09-12,325,1,6,4
2024-09-21,310,5,1,1
2024-07-19,337,2,12,5
2024-09-10,180,2,9,5
2023-07-07,447,1,6,1
2023-09-04,410,4,3,1
2023-11-06,415,4,10,1
2023-09-12,343,3,7,2
2023-07-11,44,2,2,1
2024-04-23,24,2,1,1
,180,4,1,2
2024-08-27,24,4,11,3
2024-08-22,247,3,1,4
2023-09-17,442,3,5,3
2023-07-05,195,5,5,1
,321,3,12,1
2024-09-02,108,3,11,3
2024-06-25,205,3,11,2
2023-07-18,424,4,8,4
2024-04-25,453,3,6,1
2023-10-06,51,4,12,4
2024-02-01,94,4,1,3
2024-11-04,121,4,6,1
2023-10-22,434,3,2,5
2024-05-05,66,4,12,5
2023-10-27,175,3,1,2
2024-06-11,41,1,3,4
2023-09-10,161,2,12,2
2024-06-19,465,4,10,1
2024-10-02,492,5,11,4
2023-10-18,96,4,9,4
2023-11-25,39,4,9,5
2024-10-01,376,4,6,3
2024-11-11,286,2,5,2
,63,2,4,3
2023-07-18,119,1,3,2
2024-08-30,471,5,3,2
2024-04-16,425,2,4,5
2023-07-23,412,2,1,4
2023-09-27,355,4,4,3
2024-12-14,218,2,7,5
2024-04-13,156,4,1,1
2024-07-19,434,2,3,3
2024-04-30,332,3,9,5
2024-09-30,459,3,3,3
2024-12-05,195,2,8,4
2024-11-05,119,5,6,3
2023-10-12,138,1,4,2
2024-04-16,52,4,12,4
2024-04-15,161,5,11,3
2023-12-11,283,1,2,2
2023-09-30,22,4,1,3
2024-10-12,134,4,7,3
2023-08-15,67,1,10,5
2024-08-26,369,2,1,2
2023-12-07,372,3,9,4
2024-09-22,290,1,12,4
2024-10-25,385,5,11,3
2023-08-12,2,1,3,3
2024-10-28,313,2,9,5
2024-08-28,262,3,2,3
2023-08-17,442,1,2,1
2024-10-19,,5,3,3
2024-04-15,489,5,12,3
2024-02-15,210,1,9,5
2024-05-22,93,2,7,4
2024-07-27,19,1,7,5
2024-01-06,492,3,3,5
2024-04-11,368,4,11,2
2024-07-11,116,4,10,1
2024-09-02,297,4,5,3
2024-04-11,355,2,2,1
2023-08-04,420,1,10,4
2024-11-18,302,1,7,3
2024-06-03,26,1,7,2
2024-06-09,356,2,7,3
,363,5,3,2
2023-12-26,404,5,9,2
2023-08-13,282,3,6,1
2024-12-14,206,4,3,1
2024-03-14,125,1,1,1
2024-09-08,271,3,6,3
2024-11-16,,5,4,4
2023-09-05,47,4,9,1
2024-08-30,294,5,1,4
2024-06-04,69,5,6,2
2024-04-03,5,5,10,1
2024-02-05,473,1,6,4
2024-09-07,383,5,9,4
2023-10-02,157,5,1,5
2023-07-29,450,4,6,2
2024-08-29,442,4,5,3
2023-09-25,372,5,8,4
2023-08-11,342,3,5,2
2024-05-09,398,2,4,2
2023-09-12,487,5,1,4
2024-09-04,185,1,1,1
2024-12-09,347,3,1,1
2023-12-11,83,4,1,1
2024-03-16,163,5,1,2
2024-09-07,297,3,2,5
2023-12-31,5,5,11,4
2024-04-21,479,3,5,5
2024-02-05,65,5,9,5
2024-05-06,59,4,6,1
2023-11-13,220,4,2,1
2024-09-27,437,3,7,2
2024-09-03,80,3,10,2
2023-10-11,415,5,10,5
2024-05-31,440,2,7,2
2023-10-07,336,5,8,4
2024-06-26,241,5,9,4
2024-09-24,45,1,3,1
2024-01-29,290,5,8,1
2024-07-27,266,3,2,5
2023-10-08,116,4,6,5
2023-09-23,103,3,6,2
2023-08-05,169,3,4,1
2023-11-04,174,4,10,4
2024-10-14,202,3,3,2
2024-08-15,291,2,6,1
2024-07-08,294,5,6,5
2024-11-01,317,1,4,1
2024-10-14,221,4,3,1
2023-08-12,263,5,8,2
2024-04-26,192,4,8,3
2024-04-04,258,3,6,2
2024-03-19,470,4,9,5
2024-08-11,186,5,7,4
2024-09-16,160,2,7,2
2024-09-11,354,4,10,3
2024-01-25,263,5,7,1
2024-11-26,417,3,1,5
2024-01-09,5,3,8,3
,76,4,3,1
2024-05-16,415,5,5,1
2023-08-14,138,2,7,5
2024-01-03,107,5,1,5
2024-11-13,334,1,4,1
2024-02-29,194,1,2,3
2023-11-13,70,5,9,4
2023-10-18,362,3,9,3
2023-07-07,289,3,11,2
2024-10-24,239,3,5,5
2023-10-14,390,3,8,5
2024-10-10,420,1,7,5
2023-09-11,50,3,2,5
2024-08-03,272,3,1,2
2024-04-26,176,5,2,1
2023-10-25,348,1,7,2
2024-11-01,377,2,8,1
2024-11-17,55,1,5,2
2024-12-23,40,1,3,2
2024-01-08,55,2,9,1
2024-03-19,152,5,5,4
2024-06-06,187,5,5,4
2024-11-10,135,1,8,4
2023-11-18,435,5,5,1
2024-04-24,442,5,11,2
2023-11-01,353,3,3,4
2024-05-22,383,1,3,1
2023-09-04,338,1,6,3
2023-09-29,161,5,7,3
2023-11-16,49,2,1,1
2024-10-23,353,5,8,2
2024-08-10,452,1,3,3
2023-09-02,212,2,3,5
2023-11-13,390,3,5,3
2023-12-30,264,1,11,1
2024-09-28,249,1,3,3
2024-12-17,379,2,6,3
2024-05-23,70,5,9,2
2024-07-30,15,2,5,2
2024-05-17,331,4,7,5
2024-09-20,312,3,12,3
2024-05-23,447,4,12,3
2024-05-16,123,2,8,2
2023-07-25,101,4,10,3
2024-04-15,128,4,9,1
2024-03-02,309,2,8,1
2024-12-03,402,1,1,5
2024-04-02,234,2,3,1
2023-12-14,236,2,9,3
2023-10-08,39,1,5,2
2023-12-05,213,1,7,5
2024-02-19,483,1,8,2
2024-05-19,132,4,1,2
2024-04-03,10,4,8,1
2023-10-05,327,3,11,4
2024-10-24,499,3,6,5
2023-12-30,472,1,11,3
2024-06-10,494,1,3,1
2023-09-22,200,5,12,3
2024-07-18,280,2,5,3
2024-11-25,341,5,9,2
2024-02-21,417,1,4,4
2023-11-08,60,1,4,5
2024-07-28,99,1,8,2
2024-07-19,424,4,3,5
2023-10-23,5,5,3,3
2024-07-17,390,1,9,3
2024-05-22,16,4,6,1
2023-09-02,345,3,5,5
2024-07-24,414,2,4,5
2024-08-26,34,3,8,4
2024-07-27,481,4,11,5
2023-07-15,377,3,5,3
2023-08-29,289,3,4,5
2024-01-24,48,1,10,2
2024-11-03,154,3,12,1
2023-07-22,123,3,5,1
2024-04-21,484,5,12,1
2023-07-30,290,1,10,2
2023-12-04,367,2,1,2
,338,4,12,3
2024-09-15,257,1,7,5
2024-11-20,362,4,9,2
2024-10-31,332,3,10,3
2024-08-21,255,1,8,1
2024-11-19,233,3,9,4
2024-03-18,25,1,10,3
2023-11-06,468,4,3,4
2024-09-17,218,1,8,3
2024-03-29,435,2,12,4
2024-06-14,139,5,4,2
2023-12-26,114,5,12,1
2023-10-08,58,1,12,1
2023-07-20,133,1,6,3
2024-08-05,63,3,2,2
,308,5,11,5
2023-12-09,261,5,11,3
2023-09-20,253,3,10,3
2024-09-18,402,5,7,2
2024-06-03,241,2,4,5
2024-02-29,445,3,11,4
2024-07-04,218,1,2,5
2024-10-20,138,5,5,2
2023-07-09,,5,6,2
2024-04-30,452,5,8,4
2024-08-17,444,2,11,5
2023-07-12,462,4,2,4
2023-08-09,1,1,7,4
2024-09-22,319,5,2,5
2024-04-30,174,5,3,5
2024-05-21,411,5,9,2
2023-12-09,421,5,8,5
2024-07-21,11,1,10,2
2024-07-12,231,2,4,1
2023-08-30,440,5,10,3
2024-11-23,483,5,4,4
2024-04-08,69,4,5,4
2024-10-31,53,1,3,1
2023-11-19,102,2,1,3
2023-12-02,2,4,7,3
2024-10-06,332,4,4,3
2024-12-03,9,1,5,1
2024-12-02,319,1,7,3
2024-07-02,434,4,12,1
2024-07-06,112,2,8,2
2023-08-24,8,5,4,2
2024-03-01,90,2,4,4
2023-10-03,377,4,1,3
2023-11-15,280,1,12,3
2023-11-15,142,1,8,2
2024-09-04,265,2,2,1
2024-06-24,42,3,7,5
2023-12-05,15,3,8,5
2024-09-02,197,3,6,3
2024-06-08,371,5,11,3
2024-09-26,242,2,10,4
2024-07-18,412,1,7,3
2023-07-16,253,2,4,5
2024-03-28,416,1,6,3
2024-11-19,253,4,10,2
2023-08-04,112,1,1,1
2024-09-20,432,3,8,4
2023-11-12,360,3,2,2
2024-05-15,331,5,11,1
2023-09-08,484,1,6,4
2024-03-31,340,4,10,4
2024-05-03,478,5,10,1
2023-10-07,411,4,6,3
2024-09-07,12,4,4,4
2024-08-07,235,1,3,4
2024-08-26,453,4,4,5
2024-10-14,193,3,5,3
2024-08-12,360,1,2,5
2024-07-14,223,3,2,4
2024-07-23,471,3,1,4
2024-12-17,132,1,4,3
2024-01-20,320,4,2,5
2024-01-20,95,5,5,4
2024-07-20,416,3,8,2
2023-11-04,89,3,9,2
2023-12-22,79,4,3,3
2024-10-16,378,2,3,1
,197,4,7,3
2023-10-20,,2,9,5
2023-07-21,330,2,12,5
,471,3,3,3
2024-11-21,185,1,1,2
2024-11-14,55,5,6,5
2023-09-05,61,5,9,3
2024-12-01,445,1,3,2
2023-11-30,391,5,8,4
2023-08-12,,4,6,2
2023-09-07,430,4,5,5
2024-05-11,173,1,12,4
2024-04-17,310,5,11,4
2024-07-04,152,1,3,1
2023-12-16,149,2,7,4
2024-06-30,85,2,5,2
2024-11-04,124,4,2,4
2024-05-28,247,4,11,2
2023-09-29,122,1,7,1
2024-02-05,448,5,11,1
2024-04-07,207,5,11,2
2023-10-25,274,4,5,1
2023-12-26,395,5,10,2
2024-12-01,21,3,8,1
2023-08-22,29,3,4,5
2024-05-12,308,3,5,3
2024-11-12,321,3,2,5
2023-11-06,151,5,4,2
2024-03-02,394,5,1,3
2024-11-11,342,5,4,2
2024-08-16,251,1,3,1
2024-06-16,127,4,2,3
2024-10-05,306,1,12,4
2024-11-15,140,1,10,1
2024-12-02,265,2,4,4
2024-03-20,48,2,10,4
2023-09-29,425,3,11,1
2024-05-12,421,1,6,3
2023-10-14,169,4,2,5
2023-11-20,220,5,3,1
2024-05-18,477,2,10,2
2024-11-16,492,1,1,5
2024-07-17,224,1,1,2
2024-12-17,,5,2,5
2024-02-03,385,3,2,3
2023-12-06,213,2,11,2
2023-11-25,235,4,8,1
2023-12-02,23,1,7,3
2024-04-02,461,3,9,5
2024-03-11,365,4,7,3
2024-02-25,279,3,11,3
2024-05-31,206,5,12,5
2024-02-11,379,4,3,1
2024-08-03,188,5,7,1
2024-10-07,44,2,5,5
2023-08-19,445,5,1,5
2024-11-29,336,1,5,1
2024-08-27,254,5,11,3
2024-10-29,301,5,9,5
2024-06-03,45,1,1,2
2023-10-20,106,2,1,4
2024-07-30,304,2,6,1
2024-04-21,150,1,8,5
2024-02-26,136,5,2,1
2024-09-13,313,1,6,2
2024-07-25,66,3,9,1
2023-12-20,468,3,9,2
2023-08-31,499,5,9,3
2024-07-31,436,3,11,4
2024-11-22,30,1,3,4
2024-07-10,322,3,9,4
2024-08-02,371,3,1,4
2024-10-04,330,3,5,1
2024-10-23,271,3,7,4
2024-02-15,174,3,2,1
2023-12-23,462,1,9,4
2024-08-30,491,3,10,4
2024-08-06,146,2,9,5
2024-12-24,89,5,11,2
2023-09-22,94,1,12,1
2023-09-13,325,2,10,1
,453,4,1,2
2024-04-11,108,5,7,4
2024-09-22,376,1,9,1
2023-09-21,64,4,4,5
2023-09-07,8,2,11,3
2024-12-06,455,4,6,3
2024-07-08,125,5,11,5
2024-04-18,18,4,3,4
2024-10-18,52,2,5,1
2023-07-19,244,5,8,5
2024-05-26,321,3,7,1
2023-07-10,155,3,7,5
2024-07-11,18,4,2,2
2024-05-07,218,4,9,3
2024-08-08,113,1,9,2
2023-08-21,477,2,3,1
2024-04-07,492,2,4,1
2024-05-06,388,1,8,4
2024-07-11,21,5,11,3
2024-12-16,18,5,6,2
2024-02-20,324,2,1,5
2023-10-23,80,1,8,3
,86,3,11,4
2024-09-22,336,5,12,3
2024-10-16,110,2,5,5
2023-11-27,61,2,7,2
2023-11-28,435,1,12,2
2023-10-23,83,4,3,3
2023-11-12,412,2,5,3
2023-08-05,66,5,2,4
,365,3,8,2
2023-08-28,344,5,1,3
2024-05-13,189,5,11,4
2023-10-29,54,5,9,4
2023-11-11,256,2,1,5
2024-06-04,231,3,5,3
2023-08-25,476,3,7,1
2024-07-07,395,3,6,3
2024-11-16,403,5,4,2
2024-10-10,217,4,10,1
2024-11-26,464,3,12,1
2024-01-25,488,2,1,2
2024-07-20,151,3,4,3
2023-11-25,27,3,2,2
2023-11-06,234,4,6,4
2024-11-07,332,5,10,4
2024-10-11,316,2,1,2
2024-09-29,,2,3,3
2024-10-31,155,1,6,4
2024-11-29,379,5,11,3
2024-04-16,313,5,8,4
2024-12-12,323,1,7,5
2023-09-17,262,2,10,3
2024-03-05,87,2,11,4
2024-07-28,333,5,3,2
2024-12-14,266,4,9,1
2024-09-23,3,3,2,5
2023-08-07,35,5,3,1
2024-10-01,345,5,10,3
2023-11-06,16,4,7,4
2023-11-17,347,4,11,3
2024-05-03,327,3,1,2
2024-08-12,382,5,4,5
2024-05-13,426,1,6,1
2024-10-20,7,4,10,3
2024-03-21,403,4,11,1
2024-11-26,57,5,6,1
2023-11-29,94,5,11,4
2023-12-27,258,4,3,3
2024-04-17,109,1,5,1
2024-01-06,494,4,2,3
2024-11-16,500,2,11,4
2024-09-17,79,5,11,3
2023-12-28,271,2,3,3
,176,1,7,1
2024-07-23,52,2,3,5
2024-10-31,488,2,5,3
2024-05-22,135,5,6,1
2024-07-16,338,4,3,1
2024-11-16,36,2,1,5
2024-07-18,454,3,8,1
2023-07-09,26,2,6,3
2024-02-17,82,1,9,2
2023-09-11,8,5,3,1
2024-02-03,392,3,5,1
2023-07-28,185,3,10,3
2024-05-21,21,3,7,4
2024-03-30,498,5,7,4
2023-07-27,374,5,7,4
2024-11-08,239,3,4,3
2024-07-11,275,2,2,3
2024-04-19,169,2,1,4
2023-09-10,257,4,2,2
2024-09-13,300,3,7,2
2023-11-23,80,2,10,1
2024-01-14,79,1,8,1
2024-02-18,257,1,6,5
2024-01-13,31,3,7,2
2024-04-07,373,2,9,2
,29,2,7,1
2024-04-14,61,3,1,2
2023-11-18,27,4,6,3
2024-12-18,121,5,2,3
2023-11-30,327,3,12,2
2024-05-24,222,3,4,3
2024-06-25,186,2,10,4
,170,5,3,3
2024-07-04,353,4,4,3
2024-10-10,422,2,3,1
2024-01-02,466,4,1,1
2024-04-30,291,4,7,1
2023-07-14,499,5,4,3
2024-09-08,488,3,3,4
2024-11-17,298,4,3,2
2023-07-17,233,5,5,1
2024-10-09,346,5,10,5
2023-12-12,73,3,7,5
2023-09-18,424,5,7,4
2024-10-21,123,3,5,1
2024-08-12,242,2,1,5
2024-11-26,15,4,11,5
2023-07-07,70,2,10,2
2024-09-19,224,3,1,5
2023-09-15,382,5,3,5
2024-09-28,342,4,10,3
2024-02-26,403,3,7,3
2023-11-23,199,5,6,5
2024-01-19,288,4,5,1
2024-03-02,147,5,2,1
2024-07-02,215,2,9,2
2023-09-18,412,2,4,3
2024-04-12,63,2,6,2
2024-01-08,395,4,5,2
2024-04-26,15,3,1,3
2023-08-26,222,3,7,2
2023-12-04,66,5,11,4
2023-11-07,107,2,12,2
2023-08-17,477,3,8,4
2024-05-03,20,2,11,5
2024-04-24,267,5,12,1
2024-09-18,285,4,2,4
2024-03-18,222,5,3,1
2024-07-06,14,1,12,1
2023-12-12,279,5,1,5
2023-10-14,167,3,3,5
2024-01-23,375,4,10,4
2024-06-16,33,4,10,3
2023-12-17,405,1,9,1
2024-04-28,329,2,9,2
2024-06-28,218,5,3,2
2023-10-15,263,4,10,5
2024-08-24,254,2,1,4
2024-05-10,,2,11,4
2024-03-24,19,3,2,5
2023-10-29,49,4,9,3
2024-06-30,390,2,8,5
2023-10-15,217,2,7,5
2024-05-08,29,1,9,4
2024-08-13,142,2,12,3
2023-09-18,467,5,5,2
2024-04-22,191,1,7,4
2024-06-23,477,2,5,1
2024-07-15,293,1,6,3
2023-11-09,264,2,5,3
,281,1,6,2
2024-11-06,87,5,3,5
2023-10-24,288,4,2,5
2024-06-15,447,1,1,2
2024-05-24,90,4,9,3
2024-06-06,426,1,5,5
,408,5,1,2
2024-06-27,221,4,1,2
2023-10-13,114,2,7,1
2023-11-27,388,4,8,4
2024-02-28,,2,3,2
2023-08-10,140,2,2,2
2024-10-08,54,5,1,2
2024-09-14,59,4,7,4
2024-03-25,323,3,12,1
2023-12-09,68,4,3,4
2024-12-15,270,1,2,1
2024-03-09,153,2,2,1
2023-10-26,191,3,10,2
2024-03-10,311,1,6,5
2024-04-14,185,1,8,3
2024-05-20,100,5,8,4
2023-12-17,491,5,6,5
2024-12-05,439,5,10,2
2024-11-13,19,5,11,2
2023-09-05,277,3,6,3
2024-05-10,151,1,2,3
2023-07-20,19,4,6,4
2024-07-08,177,5,8,4
2024-07-31,,1,1,2
2024-02-24,204,5,9,1
2024-01-31,208,2,3,5
2024-09-04,366,1,4,2
2024-11-15,93,3,6,3
2023-10-15,445,4,8,3
2024-06-19,134,1,6,3
2024-07-15,48,4,1,4
2023-10-02,187,3,6,3
2024-01-26,312,4,5,1
2023-07-05,387,1,8,1
2024-05-19,469,1,2,1
2023-07-30,158,5,4,1
2024-03-29,176,2,10,1
2024-02-09,260,2,4,2
2024-05-29,437,5,11,2
2024-02-11,489,5,5,1
2023-08-25,225,1,11,1
2024-09-23,59,5,8,3
2023-12-25,209,1,11,5
2024-01-25,459,2,12,5
2024-10-03,11,4,2,5
2024-08-23,158,5,8,5
2024-09-02,289,5,5,2
2024-07-05,333,4,3,4
2024-08-11,192,4,7,4
2024-02-28,120,2,6,4
2024-08-28,283,1,11,2
2024-01-27,424,2,1,2
2023-12-02,50,5,6,5
2023-10-22,260,5,3,3
2024-06-04,54,4,6,1
2024-12-07,292,1,1,5
2024-05-20,50,4,4,5
2023-12-19,23,2,9,4
2024-09-29,90,1,8,1
2023-11-05,310,2,2,3
2023-10-16,362,2,7,5
2023-09-29,239,5,2,4
2024-02-03,493,5,1,3
2024-02-29,263,5,2,5
2024-09-19,440,2,12,2
2024-06-29,330,2,12,5
,236,2,6,1
2023-12-30,342,5,12,1
2023-09-14,399,1,5,5
2024-08-28,418,2,11,2
2023-08-09,352,2,8,3
2024-03-04,356,3,7,3
2023-11-18,343,3,3,5
2024-04-19,79,4,11,1
2024-07-19,427,3,12,3
2024-09-09,428,5,4,4
2024-03-16,398,1,12,1
2024-02-05,270,3,4,5
2023-10-07,296,2,7,3
2024-02-17,130,3,4,3
2024-10-20,230,5,8,5
2024-08-31,477,2,3,3
2023-07-24,246,4,6,1
2024-11-13,416,5,1,4
2024-02-28,416,3,6,5
2023-09-01,433,1,2,2
2023-12-28,10,3,2,3
2024-02-09,94,3,5,4
2024-05-05,492,5,2,5
2023-11-02,446,5,3,2
2024-06-24,183,4,5,5
2023-08-02,317,3,4,2
2024-03-06,212,2,9,1
2024-08-31,445,4,3,3
2024-04-28,452,5,10,2
2024-03-07,98,5,10,1
2023-12-29,395,1,8,4
2024-09-11,191,2,12,5
2023-08-03,300,1,5,4
2024-03-30,432,2,6,4
2023-10-02,450,4,12,2
2024-10-25,197,4,8,2
2023-11-19,166,5,7,5
2024-02-17,184,2,4,2
2023-09-04,461,5,10,3
2023-12-29,346,2,9,5
2024-04-16,429,3,10,3
2023-11-24,334,3,6,4
2023-10-06,242,1,1,4
2024-06-25,413,5,8,2
2024-02-06,177,2,2,5
2023-08-07,455,3,6,1
2024-03-10,134,5,4,3
2023-09-12,17,3,10,2
2024-02-15,362,3,3,1
2023-10-12,400,2,5,2
2024-03-26,379,3,2,2
2023-10-29,385,5,9,2
2024-10-30,333,3,8,4
2023-07-11,174,1,2,2
2023-08-03,291,1,11,1
2023-10-13,352,1,7,1
2024-08-12,12,1,12,4
2024-09-11,207,4,8,1
2024-05-24,430,2,8,5
2024-02-15,167,1,1,5
2024-03-22,37,2,12,5
2024-10-29,177,4,4,5
2024-05-28,319,2,5,2
2023-10-18,387,2,7,1
2024-01-25,53,3,4,4
2024-09-15,192,3,1,3
2024-01-01,264,5,1,3
2023-11-30,355,3,9,1
2023-10-10,92,4,7,3
2023-11-13,111,1,12,4
2023-07-07,339,1,2,5
2023-08-28,22,4,4,3
2024-08-15,117,5,5,2
2024-08-08,260,2,5,5
2023-07-09,185,2,12,4
2023-07-08,433,1,10,4
2024-03-30,23,3,12,2
2024-08-11,270,5,6,4
2023-07-29,,1,4,1
2024-09-07,300,4,2,1
2024-07-31,2,4,6,3
2024-04-30,204,1,12,2
2024-05-07,12,3,12,1
2024-03-04,310,4,8,1
2024-02-27,258,1,6,5
2023-11-11,385,1,10,4
2024-09-14,24,2,8,5
2023-07-18,467,3,5,4
2023-10-17,135,3,6,4
2024-06-18,423,2,4,4
2024-03-06,99,4,3,5
2023-07-20,457,1,7,5
2023-10-31,160,5,10,2
2023-11-01,344,4,12,3
2023-07-29,231,1,11,1
2023-10-08,220,3,2,2
2024-07-29,274,2,1,1
2023-09-23,134,2,5,2
2023-12-06,100,5,3,3
2024-07-04,328,4,5,5
2024-02-13,472,3,3,3
2023-11-27,183,2,10,5
2024-10-20,406,1,12,5
2023-07-22,235,4,2,2
2024-09-02,201,3,9,5
2024-10-05,391,2,9,3
2023-12-08,292,2,9,2
2024-12-08,185,5,12,4
2024-06-10,72,1,7,2
2024-03-18,54,3,3,3
2024-06-27,262,5,2,4
2024-09-20,47,3,8,2
2024-10-14,403,2,1,5
2023-12-31,355,3,8,2
2024-12-05,120,2,10,2
2023-07-22,313,5,9,2
2024-12-07,391,1,8,4
2023-08-29,448,5,11,2
2023-10-29,386,1,8,3
2024-06-13,81,3,1,2
2024-10-02,389,5,11,4
2024-01-29,431,5,5,1
2023-11-29,144,3,10,1
2023-10-08,477,4,12,4
2024-08-03,219,4,4,2
2024-02-01,326,1,11,2
2023-07-10,492,2,4,5
2024-06-23,343,4,12,1
2024-07-15,474,1,12,5
2024-10-30,15,1,3,2
